INDIRIZZI SCHEDE A CUI SI APPLICA QUESTO DIZIONARIO,,,,,,,,,,,,,,,,,,,,,,
0x000501C1,,,,,,,,,,,,,,,,,,,,,,
GATEWAY SPYKE,INDIRIZZO H (hex),INDIRIZZO L (hex),TIPO,FORMATO,MINIMO,MASSIMO,UNITA' DI MISURA,R/W,Uso,Significato,Ubicazione in App,Nome in App,Aspetto in App,Effetti in App,,,,,,,,
DATI STANDARD,,,,,,,,,,,,,,,,,,,,,,
Firmware macchina,0,0,uint16_t ,255.255,0,255.255,,R,,,,,,,,,,,,,,
Firmware scheda,0,1,uint16_t ,255.255,0,255.255,,R,,,,,,,,,,,,,,
Modello,0,2,String[20],,,,,R,,,,,,,,,,,,,,
Matricola,0,3,uint32_t ,,0,4294967296,,RW,,,,,,,,,,,,,,
Tipo scheda,0,4,enum dipendente dalle macchine,,,,,N,,,,,,,,,,,,,,
Stato,0,5,3*uint32_t,,,,,R,,Macchina a stati,,,,,,,,,,,,
Allarmi,0,6,due word uint16_t bitmapped ,,,,,R,,"Allarmi
Errore CAN
NFC non risponde
Mancanza SIM
Modulo IoT non risponde
Modulo BLE non risponde

Avvisi
",,,,,,,,,,,,
Comandi,0,7,uint16_t ,,,,,N,,,,,,,,,,,,,,
Temperatura scheda,0,8,uint16_t ,,,,,R,,,,,,,,,,,,,,
Secondi lavoro motore parziale,0,9,uint32_t ,,,,,RW,,,,,,,,,,,,,,
Secondi lavoro motore totale,0,A,uint32_t ,,,,,RW,,,,,,,,,,,,,,
Cicli complessivi parziale,0,B,uint32_t ,,,,,RW,,,,,,,,,,,,,,
Cicli complessivi totale,0,C,uint32_t ,,,,,RW,,,,,,,,,,,,,,
Cicli completi eseguiti parziale,0,D,uint32_t ,,,,,RW,,,,,,,,,,,,,,
Cicli completi eseguiti totale,0,E,uint32_t ,,,,,RW,,,,,,,,,,,,,,
Livello batteria,0,F,uint16_t ,,,,,R,,,,,,,,,,,,,,
Salute batteria,0,10,uint16_t ,,,,,R,,,,,,,,,,,,,,
Cicli batteria,0,11,uint16_t ,,,,,R,,,,,,,,,,,,,,
Temperatura batteria,0,12,int16_t,,,,,R,,,,,,,,,,,,,,
BatteryFirmware,0,13,uint32_t,,,,,R,,,,,,,,,,,,,,
BatterySerial,0,14,uint32_t ,,,,,R,,,,,,,,,,,,,,
Stato ingressi fisici,0,15,uint32_t ,,,,,R,,,,,,,,,,,,,,
Stato uscite fisiche,0,16,uint32_t ,,,,,R,,,,,,,,,,,,,,
Firmware Bootloader,0,17,uint16_t ,255.255,0,255.255,,R,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DATI LOGICI GATEWAY SPYKE,,,,,,,,,,,,,,,,,,,,,,
Gancio 10G,80,0,uint8_t,,,,,R,GD,,,,,,,,,,,,,
Gancio barella,80,1,uint8_t,,,,,R,GD,,,,,,,,,,,,,
Sensore Sherpa,80,2,uint8_t,,,,,R,GD,,,,,,,,,,,,,
NFC,80,3,uint8_t,,,,,R,,,,,,,,,,,,,,
Luci,80,4,uint8_t,,,,,R/W,,,,,,,,,,,,,,
Dati SIM,80,5,custom,,,,,R/W,,,,,,,,,,,,,,
Stato Gateway,80,6,custom,,,,,R,,,,,,,,,,,,,,
Stato BLE,80,7,custom,,,,,R,,,,,,,,,,,,,,
Stato LTE,80,8,custom,,,,,R,,,,,,,,,,,,,,
