INDIRIZZI SCHEDE A CUI SI APPLICA QUESTO DIZIONARIO,,,,,,,,,,,,,,,,,,,,,,
0x00050201,,,,,,,,,,,,,,,,,,,,,,
HMI SPYKE,INDIRIZZO H+L (hex),,TIPO,FORMATO,MINIMO,MASSIMO,UNITA' DI MISURA,R/W,Uso,Significato,Ubicazione in App,Nome in App,Aspetto in App,Effetti in App,,,,,,,,
DATI STANDARD,,,,,,,,,,,,,,,,,,,,,,
Firmware macchina,0,0,uint16_t ,255.255,0,255.255,,R,,,,,,,,,,,,,,
Firmware scheda,0,1,uint16_t ,255.255,0,255.255,,R,,,,,,,,,,,,,,
Modello,0,2,String[20],,,,,R,,,,,,,,,,,,,,
Matricola,0,3,uint32_t ,,0,4294967296,,RW,,,,,,,,,,,,,,
Tipo scheda,0,4,enum dipendente dalle macchine,,,,,N,,,,,,,,,,,,,,
Stato,0,5,3*uint32_t,,,,,R,,Macchina a stati,,,,,,,,,,,,
Allarmi,0,6,due word uint16_t bitmapped ,,,,,R,"Log
GD","Gli allarmi vengono raccolti da tutte le schede periferiche e raggruppati in un unico gruppo di variabili.

Allarmi
Errore CAN
Tensione troppo bassa
Errore touch
Errore sensore 10G (se vedo Vricarica senza vedere 10G)
Sovraccarico celle (quando sono a tensione batteria massima ma ho ancora corrente) è un errore o un warning?

Avvisi
Tensione bassa
NFC non presente (se barellino agganciato)
NFC non riconosciuto (se barellino agganciato)
Barellino non agganciato (se NFC presente)
Mancanza di Vricarica con 10G agganciato
Celle sbilanciate (quando sono in ricarica ma non ho corrente di ricarica)
Perdita di stabilità della barella (da giroscopio)
Incoerenza leva/pulsante in carico
Incoerenza leva/pulsante in scarico",,,,,,,,,,,,
Comandi,0,7,uint16_t ,,,,,N,,,,,,,,,,,,,,
Temperatura scheda,0,8,uint16_t ,,,,,R,,,,,,,,,,,,,,
Secondi lavoro motore parziale,0,9,uint32_t ,,,,,RW,,,,,,,,,,,,,,
Secondi lavoro motore totale,0,A,uint32_t ,,,,,RW,,,,,,,,,,,,,,
Cicli complessivi parziale,0,B,uint32_t ,,,,,RW,Log,Numero agganci al 10G resettabile (il segnale arriva dal Gateway ma l'elaborazione come significato e funzione avviene qui),,,,,,,,,,,,
Cicli complessivi totale,0,C,uint32_t ,,,,,RW,Log,Numero agganci al 10G non resettabile,,,,,,,,,,,,
Cicli completi eseguiti parziale,0,D,uint32_t ,,,,,RW,Log,Numero agganci al 10G resettabile dopo ciclo Sherpa?,,,,,,,,,,,,
Cicli completi eseguiti totale,0,E,uint32_t ,,,,,RW,Log,Numero agganci al 10G non resettabile dopo ciclo Sherpa?,,,,,,,,,,,,
Livello batteria,0,F,uint16_t ,,,,,R,,,,,,,,,,,,,,
Salute batteria,0,10,uint16_t ,,,,,R,,,,,,,,,,,,,,
Cicli batteria,0,11,uint16_t ,,,,,R,,,,,,,,,,,,,,
Temperatura batteria,0,12,int16_t,,,,,R,,,,,,,,,,,,,,
BatteryFirmware,0,13,uint32_t,,,,,R,,,,,,,,,,,,,,
BatterySerial,0,14,uint32_t ,,,,,R,,,,,,,,,,,,,,
Stato ingressi fisici,0,15,uint32_t ,,,,,R,,,,,,,,,,,,,,
Stato uscite fisiche,0,16,uint32_t ,,,,,R,,,,,,,,,,,,,,
Firmware Bootloader,0,17,uint16_t ,255.255,0,255.255,,R,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
