Macchina,Codice Scheda,Scheda,MACHINE,FIRMWARE_TYPE,BOARD_NUMBER,Indirizzo Stem Protocol,"L'indirizzo si calcola come val=(((uint32_t)MACHINE)<<16)|
(((uint32_t)(FIRMWARE_TYPE & 0x03FF))<<6)
|(((uint32_t)(BOARD_NUMBER & 0x003F)))",,,,
SHERPA SLIM,DIS0020785,Azionamento,1,1,1,0x00010041,,,,,
SHERPA SLIM,DIS0014782,Tastiera,1,2,1,0x00010081,,,,,Macchina già immessa sul mercato
OPTIMUS (TOP-LIFT),DIS0020516,Madre,2,3,1,0x000200C1,,,,*,"Codice dell'interfaccia, la scheda integrata con la tastiera fisica avrà altri codici"
OPTIMUS/UNIVERSALE,DIS0021335*,Tastiera,2,4,1,0x00020101,,,,**,Stessa scheda dell'Optimus ma che assumerà altro codice
EDEN,DIS0020477,Madre,3,5,1,0x00030141,,,,,
EDEN,DIS0022393,Tastiera1,3,4,1,0x00030101,Gli Eden di Pina e Medesano hanno machine = 2.,,,,
EDEN,DIS0022393,Tastiera2,3,4,2,0x00030102,,,,,
EDEN,DIS0022393,Tastiera3,3,4,3,0x00030103,,,,,
GRADINO,DIS0020516**,Azionamento,4,6,1,0x00040181,,,,,
SPYKE,DIS0020790,Gateway,5,7,1,0x000501C1,,,,,
SPYKE,DIS0022401,Display,5,8,1,0x00050201,,,,,
SPYKE,,HMI,5,9,1,0x00050241,,,,,
BLE module,DIS0020254,Modulo,6,10,1,0x00060281,,,,,
SPARK,,HMI,7,11,1,0x000702C1,,,,,
SPARK,,Motori Dx,7,12,1,0x00070301,,,,,
SPARK,,Motori Sx,7,12,2,0x00070302,,,,,
SPARK,,Rostro,7,13,1,0x00070341,,,,,
TOP-LIFT-A2,DIS0020477,Madre,8,14,1,0x00080381,,,,,
TOP-LIFT-A2,,Tastiera1,8,15,1,0x000803C1,,,,,
TOP-LIFT-A2,,Tastiera2,8,15,2,0x000803C2,,,,,
TOP-LIFT-A2,,Tastiera3,8,15,3,0x000803C3,,,,,
TOP-LIFT-A2,,TastieraOld,8,4,1,0x00080101,,,,,
O3Z-TECH,,Display,9,16,1,0x00090401,,,,,
OPTIMUS-XP,,Madre,10,17,1,0x000A0441,,,,,
OPTIMUS-XP,,Tastiera1,10,4,1,0x000A0101,,,,,
OPTIMUS-XP,,Tastiera2,10,4,2,0x000A0102,,,,,
OPTIMUS-XP,,Tastiera3,10,4,3,0x000A0103,,,,,
R3L-XP,,Madre Master,11,18,1,0x000B0481,,,,,
R3L-XP,,Madre Slave,11,20,1,0x000B0501,,,,,
R3L-XP,,Tastiera1,11,4,1,0x000B0101,,,,,
R3L-XP,,Tastiera2,11,4,2,0x000B0102,,,,,
R3L-XP,,Tastiera3,11,4,3,0x000B0103,,,,,
EDEN BS8,,Madre,12,19,1,0x000C04C1,,,,,
EDEN BS8,,Tastiera1,12,4,1,0x000C0101,,,,,
EDEN BS8,,Tastiera2,12,4,2,0x000C0102,,,,,
EDEN BS8,,Tastiera3,12,4,3,0x000C0103,,,,,
