INDIRIZZI SCHEDE A CUI SI APPLICA QUESTO DIZIONARIO,,,,,,,,,,,,,,
0x000A0441,,,,,,,,,,,,,,
OPTIMUS XP,INDIRIZZO H+L (hex),,TIPO,FORMATO,MINIMO,MASSIMO,UNITA' DI MISURA,R/W,Uso,Significato,Ubicazione in App,Nome in App,Aspetto in App,Effetti in App
DATI STANDARD,,,,,,,,,,,,,,
Firmware macchina,0,0,uint16_t ,255.255,0,255.255,,R,,,,,,
Firmware scheda,0,1,uint16_t ,255.255,0,255.255,,R,,,,,,
Modello,0,2,String[20],,,,,R,,"Valore fisso:""Eden""",,,,
Matricola,0,3,uint32_t ,,0,4294967296,,RW,,,,,,
Tipo scheda,0,4,enum dipendente dalle macchine,,,,,R,,Valore fisso: 5,,,,
Stato,0,5,3*uint32_t,,,,,R,,,,,,
Allarmi,0,6,due word uint16_t bitmapped ,,,,,R,Log GD,"WORD 1: allarmi:
 bit 0: sovracorrente pompa
 bit 1: circuito aperto pompa
 bit 2: sovracorrente EV 1
 bit 3: circuito aperto EV 1
 bit 4: sovracorrente EV 2
 bit 5: circuito aperto EV 2

WORD 2: allarmi:

bit2: low battery
bit4: Errore interno routine software
bit5: errore hardware EEPROM esterna

WORD 3: allarmi:

WORD 4: allarmi:

WORD 5: warnings:

WORD 6:

WORD 7:

WORD 8:",,,,
Comandi,0,7,uint16_t ,,,,,N,,,,,,
Temperatura scheda,0,8,uint16_t ,,,,,R,,,,,,
Secondi lavoro motore parziale,0,9,uint32_t ,,,,,RW,,secondi di lavoro parziale della macchina,,,,
Secondi lavoro motore totale,0,A,uint32_t ,,,,,RW,,secondi di lavoro totale della macchina,,,,
Cicli complessivi parziale,0,B,uint32_t ,,,,,RW,,numero cicli di lavoro non completi parziale,,,,
Cicli complessivi totale,0,C,uint32_t ,,,,,RW,,numero cicli di lavoro non completi totale,,,,
Cicli completi eseguiti parziale,0,D,uint32_t ,,,,,RW,,numero cicli di lavoro completi parziale,,,,
Cicli completi eseguiti totale,0,E,uint32_t ,,,,,RW,,numero cicli di lavoro completi totale,,,,
Livello batteria,0,F,uint16_t ,,0,100,%,R,,"Derivato dalla tensione misurata, in percentaule",,,,
Salute batteria,0,10,uint16_t ,,,,,R,,,,,,
Cicli batteria,0,11,uint16_t ,,,,,R,,,,,,
Temperatura batteria,0,12,int16_t,,,,,R,,,,,,
BatteryFirmware,0,13,uint32_t,,,,,R,,,,,,
BatterySerial,0,14,uint32_t ,,,,,R,,,,,,
Stato ingressi fisici,0,15,uint32_t ,,,,,R,,"bit 0: Ingresso barella
bit 4: Costa sensibile
bit 5: Comando tastiera led
bit 8: Comando tastiera molleggio
bit 9: Comando tastiera tutto su
bit 11: Comando tastiera stop",,,,
Stato uscite fisiche,0,16,uint32_t ,,,,,R,,"bit 0: EVA
bit 1: EVB
bit 2: PUMP
bit 9: LEDB
bit 10: LEDG
bit 11: LEDR",,,,
Firmware Bootloader,0,17,uint16_t ,255.255,0,255.255,,R,,,,,,
DATI LOGICI OPTIMUS XP,,,,,,,,,,,,,,
Stato keyboard1,80,0,uint8_t,,,,,N,,"Variabile logica gestita dalla tastiera esterna
(non usare con l'app)",,,,
Stato keyboard2,80,1,uint8_t,,,,,N,,"Variabile logica gestita dalla tastiera esterna
(non usare con l'app)",,,,
Stato keyboard3,80,2,uint8_t,,,,,N,,"Variabile logica gestita dalla tastiera esterna
(non usare con l'app)",,,,
SystemOn,80,3,bool,,0,1,,R,,"0 = piano spento, 1 = piano acceso",,,,
