INDIRIZZI SCHEDE A CUI SI APPLICA QUESTO DIZIONARIO,,,,,,,,,,,,,,,,,,,,
0x000200C1,,,,,,,,,,,,,,,,,,,,
TOP -LIFT-M,INDIRIZZO H (hex),INDIRIZZO L (hex),TIPO,FORMATO,MINIMO,MASSIMO,UNITA' DI MISURA,R/W,Significato,,,,,,,,,,,
DATI STANDARD,,,,,,,,,,,,,,,,,,,,
Firmware macchina,0,0,uint16_t ,255.255,0,255.255,,R,,,,,,,,,,,,
Firmware scheda,0,1,uint16_t ,255.255,0,255.255,,R,,,,,,,,,,,,
Modello,0,2,String[20],,,,,R,,,,,,,,,,,,
Matricola,0,3,uint32_t ,,0,4294967296,,R,,,,,,,,,,,,
Tipo scheda,0,4,enum dipendente dalle macchine,,,,,N,,,,,,,,,,,,
Stato,0,5,3*uint32_t,,,,,R,,,,,,,,,,,,
Allarmi,0,6,due word uint16_t bitmapped ,,,,,R,,,,,,,,,,,,
Comandi,0,7,uint16_t ,,,,,N,,,,,,,,,,,,
Temperatura scheda,0,8,uint16_t ,,,,,R,,,,,,,,,,,,
Secondi lavoro motore parziale,0,9,uint32_t ,,,,,RW,,,,,,,,,,,,
Secondi lavoro motore totale,0,A,uint32_t ,,,,,RW,,,,,,,,,,,,
Cicli complessivi parziale,0,B,uint32_t ,,,,,RW,,,,,,,,,,,,
Cicli complessivi totale,0,C,uint32_t ,,,,,RW,,,,,,,,,,,,
Cicli completi eseguiti parziale,0,D,uint32_t ,,,,,RW,,numero cicli di lavoro completi totale,,,,,,,,,,
Cicli completi eseguiti totale,0,E,uint32_t ,,0,100,%,RW,,,,,,,,,,,,
Livello batteria,0,F,uint16_t ,,,,,R,,,,,,,,,,,,
Salute batteria,0,10,uint16_t ,,,,,R,,,,,,,,,,,,
Cicli batteria,0,11,uint16_t ,,,,,R,,,,,,,,,,,,
Temperatura batteria,0,12,int16_t,,,,,R,,,,,,,,,,,,
BatteryFirmware,0,13,uint32_t,,,,,R,,,,,,,,,,,,
BatterySerial,0,14,uint32_t ,,,,,R,,,,,,,,,,,,
Stato ingressi fisici,0,15,uint32_t ,,,,,R,,,,,,,,,,,,
Firmware Bootloader,0,17,uint16_t ,255.255,0,255.255,,R,,,,,,,,,,,,
Stato keyboard,80,0,uint8_t,,,,,N,,,,,,,,,,,,
Motor Running,80,1,bool,,0,1,,R,"0 = motore fermo, 1 = motore in movimento",,,,,,,,,,,
Motor Type,80,2,enum,,0,4,,R,"
0 =  Not initialized
1 =  DC BRUSHLESS 
2 =  DC
3  =  AC INDUCTION
4 = AC BRUSHLESS ",,Magari mettere tra i motor Type anche l'ON/OFF tipo relè come questo.,,,,,,,,,
Motor Position Reference,80,3,int16_t ,,,,,R,,,,,,,,,,,,
Motor Position,80,4,int16_t ,,,,,R,,,,,,,,,,,,
Position PID enabled,80,5,bool,,,,,R,,,,,,,,,,,,
Position PID KP,80,6,int16_t ,,,,,RW,,,,,,,,,,,,
Position PID KI,80,7,int32_t ,,,,,RW,,,,,,,,,,,,
Motor Speed Reference,80,8,int16_t ,,,,,R,,,,,,,,,,,,
Motor Speed,80,9,int16_t ,,,,,R,,,,,,,,,,,,
Speed PID enabled,80,A,bool,,,,,R,,,,,,,,,,,,
Speed PID KP,80,B,int16_t ,,,,,RW,,,,,,,,,,,,
Speed PID KI,80,C,int32_t ,,,,,RW,,,,,,,,,,,,
I reference,80,D,int16_t ,,,,,R,,,,,,,,,,,,
Motor I,80,E,int16_t ,,,,,R,,,,,,,,,,,,
